CSFSubcategoryIndex,CSFID,CSFFunctionCategorySubcategoryID,CSFSubcategoryID,CSFSubcategoryDescription,CSFCategoryIndex
1,CSF PR.AC-1,PR.AC-1,1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes",7
2,CSF PR.AC-2,PR.AC-2,2,Physical access to assets is managed and protected,7
3,CSF PR.AC-3,PR.AC-3,3,Remote access is managed,7
4,CSF PR.AC-4,PR.AC-4,4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",7
5,CSF PR.AC-5,PR.AC-5,5,"Network integrity is protected (e.g., network segregation, network segmentation)",7
6,CSF PR.AC-6,PR.AC-6,6,Identities are proofed and bound to credentials and asserted in interactions,7
7,CSF PR.AC-7,PR.AC-7,7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",7
8,CSF DE.AE-1,DE.AE-1,1,A baseline of network operations and expected data flows for users and systems is established and managed,13
9,CSF DE.AE-2,DE.AE-2,2,Detected events are analyzed to understand attack targets and methods,13
10,CSF DE.AE-3,DE.AE-3,3,Event data are collected and correlated from multiple sources and sensors,13
11,CSF DE.AE-4,DE.AE-4,4,Impact of events is determined,13
12,CSF DE.AE-5,DE.AE-5,5,Incident alert thresholds are established,13
13,CSF ID.AM-6,ID.AM-6,6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",1
14,CSF ID.AM-1,ID.AM-1,1,Physical devices and systems within the organization are inventoried,1
15,CSF ID.AM-2,ID.AM-2,2,Software platforms and applications within the organization are inventoried,1
16,CSF ID.AM-4,ID.AM-4,4,External information systems are catalogued,1
17,CSF ID.AM-3,ID.AM-3,3,Organizational communication and data flows are mapped,1
18,CSF ID.AM-5,ID.AM-5,5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ",1
19,CSF RS.AN-1,RS.AN-1,1,Notifications from detection systems are investigated ,18
20,CSF RS.AN-2,RS.AN-2,2,The impact of the incident is understood,18
21,CSF RS.AN-3,RS.AN-3,3,Forensics are performed,18
22,CSF RS.AN-4,RS.AN-4,4,Incidents are categorized consistent with response plans,18
23,CSF RS.AN-5,RS.AN-5,5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",18
24,CSF PR.AT-1,PR.AT-1,1,All users are informed and trained ,8
25,CSF PR.AT-2,PR.AT-2,2,Privileged users understand their roles and responsibilities ,8
26,CSF PR.AT-4,PR.AT-4,4,Senior executives understand their roles and responsibilities ,8
27,CSF PR.AT-5,PR.AT-5,5,Physical and cybersecurity personnel understand their roles and responsibilities ,8
28,CSF PR.AT-3,PR.AT-3,3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities ",8
29,CSF ID.BE-1,ID.BE-1,1,The organization’s role in the supply chain is identified and communicated,2
30,CSF ID.BE-3,ID.BE-3,3,"Priorities for organizational mission, objectives, and activities are established and communicated",2
31,CSF ID.BE-2,ID.BE-2,2,The organization’s place in critical infrastructure and its industry sector is identified and communicated,2
32,CSF ID.BE-4,ID.BE-4,4,Dependencies and critical functions for delivery of critical services are established,2
33,CSF ID.BE-5,ID.BE-5,5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)",2
34,CSF DE.CM-1,DE.CM-1,1,The network is monitored to detect potential cybersecurity events,14
35,CSF DE.CM-2,DE.CM-2,2,The physical environment is monitored to detect potential cybersecurity events,14
36,CSF DE.CM-3,DE.CM-3,3,Personnel activity is monitored to detect potential cybersecurity events,14
