CSFCategoryIndex,CSFID,CSFFunctionCategoryID,CSFCategoryID,CSFCategoryName,CSFCategoryDescription,CSFFunctionIndex
1,CSF ID.AM,ID.AM,AM,Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",1
2,CSF ID.BE,ID.BE,BE,Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",1
3,CSF ID.GV,ID.GV,GV,Governance,"The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",1
4,CSF ID.RA,ID.RA,RA,Risk Assessment,"The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",1
5,CSF ID.RM,ID.RM,RM,Risk Management Strategy,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",1
6,CSF ID.SC,ID.SC,SC,Supply Chain Risk Management,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.",1
7,CSF PR.AC,PR.AC,AC,"Identity Management, Authentication and Access Control","Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",2
8,CSF PR.AT,PR.AT,AT,Awareness and Training,"The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",2
9,CSF PR.DS,PR.DS,DS,Data Security,"Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",2
10,CSF PR.IP,PR.IP,IP,Information Protection Processes and Procedures,"Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",2
11,CSF PR.MA,PR.MA,MA,Maintenance,Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.,2
12,CSF PR.PT,PR.PT,PT,Protective Technology,"Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",2
13,CSF DE.AE,DE.AE,AE,Anomalies and Events,Anomalous activity is detected and the potential impact of events is understood.,3
14,CSF DE.CM,DE.CM,CM,Security Continuous Monitoring,The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,3
15,CSF DE.DP,DE.DP,DP,Detection Processes,Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,3
16,CSF RS.RP,RS.RP,RP,Response Planning,"Response processes and procedures are executed and maintained, to ensure response to detected cybersecurity incidents.",4
17,CSF RS.CO,RS.CO,CO,Communications,Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,4
18,CSF RS.AN,RS.AN,AN,Analysis,Analysis is conducted to ensure effective response and support recovery activities.,4
19,CSF RS.MI,RS.MI,MI,Mitigation,"Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",4
20,CSF RS.IM,RS.IM,IM,Improvements,Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,4
21,CSF RC.RP,RC.RP,RP,Recovery Planning,Recovery processes and procedures are executed and maintained to ensure restoration of systems or assets affected by cybersecurity incidents.,5
22,CSF RC.IM,RC.IM,IM,Improvements,Recovery planning and processes are improved by incorporating lessons learned into future activities.,5
23,CSF RC.CO,RC.CO,CO,Communications,"Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",5
