CSFRMFIndex,CSFID,CSFSubcategoryIndex,RMFTaskIndex,RMFID,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CSF ID.AM-6,13,1,RMF 0.P-1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CSF ID.AM-6,13,2,RMF 0.P-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CSF ID.AM-6,13,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CSF ID.AM-1,14,2,RMF 0.P-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CSF ID.AM-1,14,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CSF ID.AM-1,14,21,RMF 1.C-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CSF ID.AM-2,15,2,RMF 0.P-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CSF ID.AM-2,15,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CSF ID.AM-2,15,21,RMF 1.C-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CSF ID.AM-4,16,2,RMF 0.P-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CSF ID.AM-4,16,5,RMF 0.P-13 ,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CSF ID.AM-4,16,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CSF ID.AM-4,16,21,RMF 1.C-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CSF ID.AM-3,17,2,RMF 0.P-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CSF ID.AM-3,17,5,RMF 0.P-13 ,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CSF ID.AM-3,17,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CSF ID.AM-3,17,21,RMF 1.C-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CSF ID.AM-5,18,2,RMF 0.P-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CSF ID.AM-5,18,4,RMF 0.P-12 ,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CSF ID.AM-5,18,16,RMF 0.P-6 ,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CSF ID.AM-5,18,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CSF ID.AM-5,18,21,RMF 1.C-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CSF RS.AN-1,19,44,RMF 6.M-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CSF RS.AN-2,20,44,RMF 6.M-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CSF RS.AN-3,21,44,RMF 6.M-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CSF RS.AN-4,22,44,RMF 6.M-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
27,CSF RS.AN-5,23,44,RMF 6.M-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CSF ID.BE-1,29,18,RMF 0.P-8,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CSF ID.BE-1,29,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CSF ID.BE-3,30,18,RMF 0.P-8,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CSF ID.BE-3,30,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CSF ID.BE-2,31,18,RMF 0.P-8,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CSF ID.BE-2,31,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CSF ID.BE-4,32,18,RMF 0.P-8,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CSF ID.BE-4,32,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
36,CSF ID.BE-5,33,18,RMF 0.P-8,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CSF ID.BE-5,33,19,RMF 0.P-9,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CSF DE.CM-1,34,17,RMF 0.P-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CSF DE.CM-1,34,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CSF DE.CM-1,34,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CSF DE.CM-2,35,17,RMF 0.P-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CSF DE.CM-2,35,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
43,CSF DE.CM-2,35,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CSF DE.CM-3,36,17,RMF 0.P-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CSF DE.CM-3,36,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
46,CSF DE.CM-3,36,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CSF DE.CM-4,37,17,RMF 0.P-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CSF DE.CM-4,37,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CSF DE.CM-4,37,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CSF DE.CM-5,38,17,RMF 0.P-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
51,CSF DE.CM-5,38,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CSF DE.CM-5,38,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
53,CSF DE.CM-6,39,17,RMF 0.P-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
54,CSF DE.CM-6,39,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CSF DE.CM-6,39,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
56,CSF DE.CM-7,40,17,RMF 0.P-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CSF DE.CM-7,40,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
58,CSF DE.CM-7,40,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
59,CSF DE.CM-8,41,17,RMF 0.P-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
60,CSF DE.CM-8,41,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
61,CSF DE.CM-8,41,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CSF ID.GV-1,63,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
63,CSF ID.GV-1,63,10,RMF 0.P-17 ,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CSF ID.GV-1,63,11,RMF 0.P-18,,,,,,,,,,,,,,,,,,,,,,,,,,
65,CSF ID.GV-1,63,18,RMF 0.P-8,,,,,,,,,,,,,,,,,,,,,,,,,,
66,CSF ID.GV-1,63,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
67,CSF ID.GV-1,63,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
68,CSF ID.GV-2,64,1,RMF 0.P-1,,,,,,,,,,,,,,,,,,,,,,,,,,
69,CSF ID.GV-2,64,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CSF ID.GV-2,64,10,RMF 0.P-17 ,,,,,,,,,,,,,,,,,,,,,,,,,,
71,CSF ID.GV-2,64,11,RMF 0.P-18,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CSF ID.GV-2,64,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
73,CSF ID.GV-2,64,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CSF ID.GV-3,65,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
75,CSF ID.GV-3,65,10,RMF 0.P-17 ,,,,,,,,,,,,,,,,,,,,,,,,,,
76,CSF ID.GV-3,65,11,RMF 0.P-18,,,,,,,,,,,,,,,,,,,,,,,,,,
77,CSF ID.GV-3,65,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
78,CSF ID.GV-3,65,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
79,CSF ID.GV-4,66,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
