CSFRMFIndex,CSFID,CSFSubcategoryIndex,RMFID,RMFTaskIndex
1,ID.AM-6,13,P-1,1
2,ID.AM-6,13,P-10 ,2
3,ID.AM-6,13,P-9,19
4,ID.AM-1,14,P-10 ,2
5,ID.AM-1,14,P-9,19
6,ID.AM-1,14,C-2 ,21
7,ID.AM-2,15,P-10 ,2
8,ID.AM-2,15,P-9,19
9,ID.AM-2,15,C-2 ,21
10,ID.AM-4,16,P-10 ,2
11,ID.AM-4,16,P-13 ,5
12,ID.AM-4,16,P-9,19
13,ID.AM-4,16,C-2 ,21
14,ID.AM-3,17,P-10 ,2
15,ID.AM-3,17,P-13 ,5
16,ID.AM-3,17,P-9,19
17,ID.AM-3,17,C-2 ,21
18,ID.AM-5,18,P-10 ,2
19,ID.AM-5,18,P-12 ,4
20,ID.AM-5,18,P-6 ,16
21,ID.AM-5,18,P-9,19
22,ID.AM-5,18,C-2 ,21
23,RS.AN-1,19,M-3 ,44
24,RS.AN-2,20,M-3 ,44
25,RS.AN-3,21,M-3 ,44
26,RS.AN-4,22,M-3 ,44
27,RS.AN-5,23,M-3 ,44
28,ID.BE-1,29,P-8,18
29,ID.BE-1,29,P-9,19
30,ID.BE-3,30,P-8,18
31,ID.BE-3,30,P-9,19
32,ID.BE-2,31,P-8,18
33,ID.BE-2,31,P-9,19
34,ID.BE-4,32,P-8,18
35,ID.BE-4,32,P-9,19
36,ID.BE-5,33,P-8,18
37,ID.BE-5,33,P-9,19
38,DE.CM-1,34,P-7 ,17
39,DE.CM-1,34,S-5 ,27
40,DE.CM-1,34,M-1,42
41,DE.CM-2,35,P-7 ,17
42,DE.CM-2,35,S-5 ,27
43,DE.CM-2,35,M-1,42
44,DE.CM-3,36,P-7 ,17
45,DE.CM-3,36,S-5 ,27
46,DE.CM-3,36,M-1,42
47,DE.CM-4,37,P-7 ,17
48,DE.CM-4,37,S-5 ,27
49,DE.CM-4,37,M-1,42
50,DE.CM-5,38,P-7 ,17
51,DE.CM-5,38,S-5 ,27
52,DE.CM-5,38,M-1,42
53,DE.CM-6,39,P-7 ,17
54,DE.CM-6,39,S-5 ,27
55,DE.CM-6,39,M-1,42
56,DE.CM-7,40,P-7 ,17
57,DE.CM-7,40,S-5 ,27
58,DE.CM-7,40,M-1,42
59,DE.CM-8,41,P-7 ,17
60,DE.CM-8,41,S-5 ,27
61,DE.CM-8,41,M-1,42
62,ID.GV-1,63,P-15 ,8
63,ID.GV-1,63,P-17 ,10
64,ID.GV-1,63,P-18,11
65,ID.GV-1,63,P-8,18
66,ID.GV-1,63,S-5 ,27
67,ID.GV-1,63,M-1,42
68,ID.GV-2,64,P-1,1
69,ID.GV-2,64,P-15 ,8
70,ID.GV-2,64,P-17 ,10
71,ID.GV-2,64,P-18,11
72,ID.GV-2,64,S-5 ,27
73,ID.GV-2,64,M-1,42
74,ID.GV-3,65,P-15 ,8
75,ID.GV-3,65,P-17 ,10
76,ID.GV-3,65,P-18,11
77,ID.GV-3,65,S-5 ,27
78,ID.GV-3,65,M-1,42
79,ID.GV-4,66,P-15 ,8
80,ID.GV-4,66,P-17 ,10
81,ID.GV-4,66,P-18,11
82,ID.GV-4,66,S-5 ,27
83,ID.GV-4,66,M-1,42
84,RS.IM-1,69,M-4 ,45
85,RS.IM-2,70,M-4 ,45
86,PR.IP-6,71,P-15 ,8
87,PR.IP-6,71,S-3 ,25
88,PR.IP-2,72,P-15 ,8
89,PR.IP-2,72,S-3 ,25
90,PR.IP-2,72,I-1 ,29
91,PR.IP-1,73,P-15 ,8
92,PR.IP-1,73,S-3 ,25
93,PR.IP-1,73,I-1 ,29
94,PR.IP-1,73,I-2 ,30
95,PR.IP-12,74,P-15 ,8
96,PR.IP-12,74,S-3 ,25
97,PR.IP-3,75,P-15 ,8
98,PR.IP-3,75,S-3 ,25
99,PR.IP-4,76,P-15 ,8
100,PR.IP-4,76,S-3 ,25
101,PR.IP-5,77,P-15 ,8
102,PR.IP-5,77,S-3 ,25
103,PR.IP-7,78,P-15 ,8
104,PR.IP-7,78,S-3 ,25
105,PR.IP-8,79,P-15 ,8
106,PR.IP-8,79,S-3 ,25
107,PR.IP-9,80,P-15 ,8
108,PR.IP-9,80,S-3 ,25
109,PR.IP-10,81,P-15 ,8
110,PR.IP-10,81,S-3 ,25
111,PR.IP-11,82,P-15 ,8
112,PR.IP-11,82,S-3 ,25
113,ID.RA-4,93,P-14 ,7
114,ID.RA-4,93,P-3 ,13
115,ID.RA-5,94,P-14 ,7
116,ID.RA-5,94,P-14 ,7
117,ID.RA-6,95,P-14 ,7
118,ID.RA-6,95,P-3 ,13
119,ID.RA-6,95,A-6 ,36
120,ID.RA-6,95,R-3,39
121,ID.RA-1,96,P-14 ,7
122,ID.RA-1,96,P-3 ,13
123,ID.RA-2,97,P-14 ,7
124,ID.RA-2,97,P-3 ,13
125,ID.RA-3,98,P-14 ,7
126,ID.RA-3,98,P-3 ,13
127,ID.RM-1,99,P-2 ,12
128,ID.RM-2,100,P-2 ,12
129,ID.RM-3,101,P-2 ,12
130,ID.SC-1,104,P-2 ,12
131,ID.SC-1,104,P-3 ,13
132,ID.SC-2,105,P-14 ,7
133,ID.SC-2,105,P-2 ,12
134,ID.SC-3,106,P-2 ,12
135,ID.SC-4,107,P-2 ,12
136,ID.SC-4,107,P-7 ,17
137,ID.SC-4,107,M-2 ,43
138,ID.SC-5,108,P-2 ,12
