CSFSP80053Index,CSFID,CSFSubcategoryIndex,SP88053ID,SP80053ControlDetailIndex
1,DE.AE-1,8,AC-4,134
2,DE.AE-1,8,AC-4 (1),135
3,DE.AE-1,8,AC-4 (10),136
4,DE.AE-1,8,AC-4 (11),137
5,DE.AE-1,8,AC-4 (12),138
6,DE.AE-1,8,AC-4 (13),139
7,DE.AE-1,8,AC-4 (14),140
8,DE.AE-1,8,AC-4 (15),141
9,DE.AE-1,8,AC-4 (17),142
10,DE.AE-1,8,AC-4 (18),143
11,DE.AE-1,8,AC-4 (19),144
12,DE.AE-1,8,AC-4 (2),145
13,DE.AE-1,8,AC-4 (20),146
14,DE.AE-1,8,AC-4 (21),147
15,DE.AE-1,8,AC-4 (22),148
16,DE.AE-1,8,AC-4 (3),149
17,DE.AE-1,8,AC-4 (4),150
18,DE.AE-1,8,AC-4 (5),151
19,DE.AE-1,8,AC-4 (6),152
20,DE.AE-1,8,AC-4 (7),153
21,DE.AE-1,8,AC-4 (8),154
22,DE.AE-1,8,AC-4 (9),155
23,DE.AE-1,8,CA-3,308
24,DE.AE-1,8,CA-3 (1),309
25,DE.AE-1,8,CA-3 (2),310
26,DE.AE-1,8,CA-3 (3),311
27,DE.AE-1,8,CA-3 (4),312
28,DE.AE-1,8,CA-3 (5),313
29,DE.AE-1,8,CA-3a,314
30,DE.AE-1,8,CA-3b,315
31,DE.AE-1,8,CA-3c,316
32,DE.AE-1,8,CM-2,358
33,DE.AE-1,8,CM-2 (1)(a),359
34,DE.AE-1,8,CM-2 (1)(b),360
35,DE.AE-1,8,CM-2 (1)(c),361
36,DE.AE-1,8,CM-2 (2),362
37,DE.AE-1,8,CM-2 (3),363
38,DE.AE-1,8,CM-2 (6),364
39,DE.AE-1,8,CM-2 (7)(a),365
40,DE.AE-1,8,CM-2 (7)(b),366
41,DE.AE-1,8,SI-4,1391
42,DE.AE-1,8,SI-4 (1),1392
43,DE.AE-1,8,SI-4 (10),1393
44,DE.AE-1,8,SI-4 (11),1394
45,DE.AE-1,8,SI-4 (12),1395
46,DE.AE-1,8,SI-4 (13)(a),1396
47,DE.AE-1,8,SI-4 (13)(b),1397
48,DE.AE-1,8,SI-4 (13)(c),1398
49,DE.AE-1,8,SI-4 (14),1399
50,DE.AE-1,8,SI-4 (15),1400
51,DE.AE-1,8,SI-4 (16),1401
52,DE.AE-1,8,SI-4 (17),1402
53,DE.AE-1,8,SI-4 (18),1403
54,DE.AE-1,8,SI-4 (19),1404
55,DE.AE-1,8,SI-4 (2),1405
56,DE.AE-1,8,SI-4 (20),1406
57,DE.AE-1,8,SI-4 (21),1407
58,DE.AE-1,8,SI-4 (22),1408
59,DE.AE-1,8,SI-4 (23),1409
60,DE.AE-1,8,SI-4 (24),1410
61,DE.AE-1,8,SI-4 (3),1411
62,DE.AE-1,8,SI-4 (4),1412
63,DE.AE-1,8,SI-4 (5),1413
64,DE.AE-1,8,SI-4 (7),1414
65,DE.AE-1,8,SI-4 (9),1415
66,DE.AE-1,8,SI-4a.1,1416
67,DE.AE-1,8,SI-4a.2,1417
68,DE.AE-1,8,SI-4b,1418
69,DE.AE-1,8,SI-4c.1,1419
70,DE.AE-1,8,SI-4c.2,1420
71,DE.AE-1,8,SI-4d,1421
72,DE.AE-1,8,SI-4e,1422
73,DE.AE-1,8,SI-4f,1423
74,DE.AE-1,8,SI-4g,1424
75,DE.AE-2,9,AU-6,263
76,DE.AE-2,9,AU-6 (1),264
77,DE.AE-2,9,AU-6 (10),265
78,DE.AE-2,9,AU-6 (3),266
79,DE.AE-2,9,AU-6 (4),267
80,DE.AE-2,9,AU-6 (5),268
81,DE.AE-2,9,AU-6 (6),269
82,DE.AE-2,9,AU-6 (7),270
83,DE.AE-2,9,AU-6 (8),271
84,DE.AE-2,9,AU-6 (9),272
85,DE.AE-2,9,AU-6a,273
86,DE.AE-2,9,AU-6b,274
87,DE.AE-2,9,CA-7,325
88,DE.AE-2,9,CA-7 (1),326
89,DE.AE-2,9,CA-7 (3),327
90,DE.AE-2,9,CA-7a,328
91,DE.AE-2,9,CA-7b,329
92,DE.AE-2,9,CA-7c,330
93,DE.AE-2,9,CA-7d,331
94,DE.AE-2,9,CA-7e,332
95,DE.AE-2,9,CA-7f,333
96,DE.AE-2,9,CA-7g,334
97,DE.AE-2,9,IR-4,624
98,DE.AE-2,9,IR-4 (1),625
99,DE.AE-2,9,IR-4 (10),626
100,DE.AE-2,9,IR-4 (2),627
101,DE.AE-2,9,IR-4 (3),628
102,DE.AE-2,9,IR-4 (4),629
103,DE.AE-2,9,IR-4 (5),630
104,DE.AE-2,9,IR-4 (6),631
105,DE.AE-2,9,IR-4 (7),632
106,DE.AE-2,9,IR-4 (8),633
107,DE.AE-2,9,IR-4 (9),634
108,DE.AE-2,9,IR-4a,635
109,DE.AE-2,9,IR-4b,636
110,DE.AE-2,9,IR-4c,637
111,DE.AE-2,9,SI-4,1391
112,DE.AE-2,9,SI-4 (1),1392
113,DE.AE-2,9,SI-4 (10),1393
114,DE.AE-2,9,SI-4 (11),1394
115,DE.AE-2,9,SI-4 (12),1395
116,DE.AE-2,9,SI-4 (13)(a),1396
117,DE.AE-2,9,SI-4 (13)(b),1397
118,DE.AE-2,9,SI-4 (13)(c),1398
119,DE.AE-2,9,SI-4 (14),1399
120,DE.AE-2,9,SI-4 (15),1400
121,DE.AE-2,9,SI-4 (16),1401
122,DE.AE-2,9,SI-4 (17),1402
123,DE.AE-2,9,SI-4 (18),1403
124,DE.AE-2,9,SI-4 (19),1404
125,DE.AE-2,9,SI-4 (2),1405
126,DE.AE-2,9,SI-4 (20),1406
127,DE.AE-2,9,SI-4 (21),1407
128,DE.AE-2,9,SI-4 (22),1408
129,DE.AE-2,9,SI-4 (23),1409
130,DE.AE-2,9,SI-4 (24),1410
131,DE.AE-2,9,SI-4 (3),1411
132,DE.AE-2,9,SI-4 (4),1412
133,DE.AE-2,9,SI-4 (5),1413
134,DE.AE-2,9,SI-4 (7),1414
135,DE.AE-2,9,SI-4 (9),1415
136,DE.AE-2,9,SI-4a.1,1416
137,DE.AE-2,9,SI-4a.2,1417
138,DE.AE-2,9,SI-4b,1418
139,DE.AE-2,9,SI-4c.1,1419
140,DE.AE-2,9,SI-4c.2,1420
141,DE.AE-2,9,SI-4d,1421
142,DE.AE-2,9,SI-4e,1422
143,DE.AE-2,9,SI-4f,1423
144,DE.AE-2,9,SI-4g,1424
145,DE.AE-3,10,AU-6,263
146,DE.AE-3,10,AU-6 (1),264
147,DE.AE-3,10,AU-6 (10),265
148,DE.AE-3,10,AU-6 (3),266
149,DE.AE-3,10,AU-6 (4),267
150,DE.AE-3,10,AU-6 (5),268
151,DE.AE-3,10,AU-6 (6),269
152,DE.AE-3,10,AU-6 (7),270
153,DE.AE-3,10,AU-6 (8),271
154,DE.AE-3,10,AU-6 (9),272
155,DE.AE-3,10,AU-6a,273
156,DE.AE-3,10,AU-6b,274
157,DE.AE-3,10,CA-7,325
158,DE.AE-3,10,CA-7 (1),326
159,DE.AE-3,10,CA-7 (3),327
160,DE.AE-3,10,CA-7a,328
161,DE.AE-3,10,CA-7b,329
162,DE.AE-3,10,CA-7c,330
163,DE.AE-3,10,CA-7d,331
164,DE.AE-3,10,CA-7e,332
165,DE.AE-3,10,CA-7f,333
166,DE.AE-3,10,CA-7g,334
167,DE.AE-3,10,IR-4,624
168,DE.AE-3,10,IR-4 (1),625
169,DE.AE-3,10,IR-4 (10),626
170,DE.AE-3,10,IR-4 (2),627
171,DE.AE-3,10,IR-4 (3),628
172,DE.AE-3,10,IR-4 (4),629
173,DE.AE-3,10,IR-4 (5),630
174,DE.AE-3,10,IR-4 (6),631
175,DE.AE-3,10,IR-4 (7),632
176,DE.AE-3,10,IR-4 (8),633
177,DE.AE-3,10,IR-4 (9),634
178,DE.AE-3,10,IR-4a,635
179,DE.AE-3,10,IR-4b,636
180,DE.AE-3,10,IR-4c,637
181,DE.AE-3,10,IR-5,638
182,DE.AE-3,10,IR-5 (1),639
183,DE.AE-3,10,SI-4,1391
184,DE.AE-3,10,SI-4 (1),1392
185,DE.AE-3,10,SI-4 (10),1393
186,DE.AE-3,10,SI-4 (11),1394
187,DE.AE-3,10,SI-4 (12),1395
188,DE.AE-3,10,SI-4 (13)(a),1396
189,DE.AE-3,10,SI-4 (13)(b),1397
190,DE.AE-3,10,SI-4 (13)(c),1398
191,DE.AE-3,10,SI-4 (14),1399
192,DE.AE-3,10,SI-4 (15),1400
193,DE.AE-3,10,SI-4 (16),1401
194,DE.AE-3,10,SI-4 (17),1402
195,DE.AE-3,10,SI-4 (18),1403
196,DE.AE-3,10,SI-4 (19),1404
197,DE.AE-3,10,SI-4 (2),1405
198,DE.AE-3,10,SI-4 (20),1406
199,DE.AE-3,10,SI-4 (21),1407
200,DE.AE-3,10,SI-4 (22),1408
201,DE.AE-3,10,SI-4 (23),1409
202,DE.AE-3,10,SI-4 (24),1410
203,DE.AE-3,10,SI-4 (3),1411
204,DE.AE-3,10,SI-4 (4),1412
205,DE.AE-3,10,SI-4 (5),1413
206,DE.AE-3,10,SI-4 (7),1414
207,DE.AE-3,10,SI-4 (9),1415
208,DE.AE-3,10,SI-4a.1,1416
209,DE.AE-3,10,SI-4a.2,1417
210,DE.AE-3,10,SI-4b,1418
211,DE.AE-3,10,SI-4c.1,1419
212,DE.AE-3,10,SI-4c.2,1420
213,DE.AE-3,10,SI-4d,1421
214,DE.AE-3,10,SI-4e,1422
215,DE.AE-3,10,SI-4f,1423
216,DE.AE-3,10,SI-4g,1424
217,DE.AE-4,11,CP-2,453
218,DE.AE-4,11,CP-2 (1),454
219,DE.AE-4,11,CP-2 (2),455
220,DE.AE-4,11,CP-2 (3),456
221,DE.AE-4,11,CP-2 (4),457
222,DE.AE-4,11,CP-2 (5),458
223,DE.AE-4,11,CP-2 (6),459
224,DE.AE-4,11,CP-2 (7),460
225,DE.AE-4,11,CP-2 (8),461
226,DE.AE-4,11,CP-2a.1,462
227,DE.AE-4,11,CP-2a.2,463
228,DE.AE-4,11,CP-2a.3,464
229,DE.AE-4,11,CP-2a.4,465
230,DE.AE-4,11,CP-2a.5,466
231,DE.AE-4,11,CP-2a.6,467
232,DE.AE-4,11,CP-2b,468
233,DE.AE-4,11,CP-2c,469
234,DE.AE-4,11,CP-2d,470
235,DE.AE-4,11,CP-2e,471
236,DE.AE-4,11,CP-2f,472
237,DE.AE-4,11,CP-2g,473
238,DE.AE-4,11,IR-4,624
239,DE.AE-4,11,IR-4 (1),625
240,DE.AE-4,11,IR-4 (10),626
241,DE.AE-4,11,IR-4 (2),627
242,DE.AE-4,11,IR-4 (3),628
243,DE.AE-4,11,IR-4 (4),629
244,DE.AE-4,11,IR-4 (5),630
245,DE.AE-4,11,IR-4 (6),631
246,DE.AE-4,11,IR-4 (7),632
247,DE.AE-4,11,IR-4 (8),633
248,DE.AE-4,11,IR-4 (9),634
249,DE.AE-4,11,IR-4a,635
250,DE.AE-4,11,IR-4b,636
251,DE.AE-4,11,IR-4c,637
252,DE.AE-4,11,RA-3,999
253,DE.AE-4,11,RA-3a,1000
254,DE.AE-4,11,RA-3b,1001
255,DE.AE-4,11,RA-3c,1002
256,DE.AE-4,11,RA-3d,1003
257,DE.AE-4,11,RA-3e,1004
258,DE.AE-4,11,SI-4,1391
259,DE.AE-4,11,SI-4 (1),1392
260,DE.AE-4,11,SI-4 (10),1393
261,DE.AE-4,11,SI-4 (11),1394
262,DE.AE-4,11,SI-4 (12),1395
263,DE.AE-4,11,SI-4 (13)(a),1396
264,DE.AE-4,11,SI-4 (13)(b),1397
265,DE.AE-4,11,SI-4 (13)(c),1398
266,DE.AE-4,11,SI-4 (14),1399
267,DE.AE-4,11,SI-4 (15),1400
268,DE.AE-4,11,SI-4 (16),1401
269,DE.AE-4,11,SI-4 (17),1402
270,DE.AE-4,11,SI-4 (18),1403
271,DE.AE-4,11,SI-4 (19),1404
272,DE.AE-4,11,SI-4 (2),1405
273,DE.AE-4,11,SI-4 (20),1406
274,DE.AE-4,11,SI-4 (21),1407
275,DE.AE-4,11,SI-4 (22),1408
276,DE.AE-4,11,SI-4 (23),1409
277,DE.AE-4,11,SI-4 (24),1410
278,DE.AE-4,11,SI-4 (3),1411
279,DE.AE-4,11,SI-4 (4),1412
280,DE.AE-4,11,SI-4 (5),1413
281,DE.AE-4,11,SI-4 (7),1414
282,DE.AE-4,11,SI-4 (9),1415
283,DE.AE-4,11,SI-4a.1,1416
284,DE.AE-4,11,SI-4a.2,1417
285,DE.AE-4,11,SI-4b,1418
286,DE.AE-4,11,SI-4c.1,1419
287,DE.AE-4,11,SI-4c.2,1420
288,DE.AE-4,11,SI-4d,1421
289,DE.AE-4,11,SI-4e,1422
290,DE.AE-4,11,SI-4f,1423
291,DE.AE-4,11,SI-4g,1424
292,DE.AE-5,12,IR-4,624
293,DE.AE-5,12,IR-4 (1),625
294,DE.AE-5,12,IR-4 (10),626
295,DE.AE-5,12,IR-4 (2),627
296,DE.AE-5,12,IR-4 (3),628
297,DE.AE-5,12,IR-4 (4),629
298,DE.AE-5,12,IR-4 (5),630
299,DE.AE-5,12,IR-4 (6),631
300,DE.AE-5,12,IR-4 (7),632
301,DE.AE-5,12,IR-4 (8),633
302,DE.AE-5,12,IR-4 (9),634
303,DE.AE-5,12,IR-4a,635
304,DE.AE-5,12,IR-4b,636
305,DE.AE-5,12,IR-4c,637
306,DE.AE-5,12,IR-5,638
307,DE.AE-5,12,IR-5 (1),639
308,DE.AE-5,12,IR-8,650
309,DE.AE-5,12,IR-8a.1,651
310,DE.AE-5,12,IR-8a.2,652
311,DE.AE-5,12,IR-8a.3,653
312,DE.AE-5,12,IR-8a.4,654
313,DE.AE-5,12,IR-8a.5,655
314,DE.AE-5,12,IR-8a.6,656
315,DE.AE-5,12,IR-8a.7,657
316,DE.AE-5,12,IR-8a.8,658
317,DE.AE-5,12,IR-8b,659
318,DE.AE-5,12,IR-8c,660
