PFCategoryIndex,PFID,PFCategoryName,PFCategoryID,PFCategoryDescription,PFFunctionIndex
1,ID.IM-P,Inventory and Mapping,IM-P,"Data processing by systems, products, or services is understood and informs the management of privacy risk.",1
2,ID.BE-P,Business Environment,BE-P,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform privacy roles, responsibilities, and risk management decisions.",1
3,ID.RA-P,Risk Assessment,RA-P,"The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts on organizational operations, including mission, functions, other risk management priorities (e.g., compliance, financial), reputation, workforce, and culture.",1
4,ID.DE-P,Data Processing Ecosystem Risk Management,DE-P,"The organization’s priorities, constraints, risk tolerance, and assumptions are established and used to support risk decisions associated with managing privacy risk and third parties within the data processing ecosystem. The organization has established and implemented the processes to identify, assess, and manage privacy risks within the data processing ecosystem.",1
5,GV.PO-P,"Governance Policies, Processes, and Procedures",PO-P,"The policies, processes, and procedures to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of privacy risk.",2
6,GV.RM-P,Risk Management Strategy,RM-P,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",2
7,GV.AT-P,Awareness and Training,AT-P,"The organization’s workforce and third parties engaged in data processing are provided privacy awareness education and are trained to perform their privacy-related duties and responsibilities consistent with related policies, processes, procedures, and agreements and organizational privacy values.",2
8,GV.MT-P,Monitoring and Review,MT-P,"The policies, processes, and procedures for ongoing review of the organization’s privacy posture are understood and inform the management of privacy risk.",2
9,CT.PO-P,"Data Processing Policies, Processes, and Procedures",PO-P,"Policies, processes, and procedures are maintained and used to manage data processing (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment) consistent with the organization’s risk strategy to protect individuals’ privacy.",3
10,CT.DM-P,Data Processing Management,DM-P,"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy, increase manageability, and enable the implementation of privacy principles (e.g., individual participation, data quality, data minimization). ",3
11,CT.DP-P,Disassociated Processing,DP-P,"Data processing solutions increase disassociability consistent with the organization’s risk strategy to protect individuals’ privacy and enable implementation of privacy principles (e.g., data minimization).",3
12,CM.PO-P,"Communication Policies, Processes, and Procedures",PO-P,"Policies, processes, and procedures are maintained and used to increase transparency of the organization’s data processing practices (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment) and associated privacy risks.",4
13,CM.AW-P,Data Processing Awareness,AW-P,"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy. ",4
14,PR.PO-P,"Data Protection Policies, Processes, and Procedures",PO-P,"Security and privacy policies (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment), processes, and procedures are maintained and used to manage the protection of data.",5
15,PR.AC-P,"Identity Management, Authentication, and Access Control ",AC-P,"Access to data and devices is limited to authorized individuals, processes, and devices, and is managed consistent with the assessed risk of unauthorized access.",5
16,PR.DS-P,Data Security,DS-P,"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability.",5
17,PR.MA-P,Maintenance ,MA-P,"System maintenance and repairs are performed consistent with policies, processes, and procedures.",5
18,PR.PT-P,Protective Technology,PT-P,"Technical security solutions are managed to ensure the security and resilience of systems/products/services and associated data, consistent with related policies, processes, procedures, and agreements.",5
