PFSubcategoryIndex,PFID,PFSubcategoryID,PFSubcategoryDescription,PFCategoryIndex
1,ID.IM-P1,1,Systems/products/services that process data are inventoried.,1
2,ID.IM-P2,2,"Owners or operators (e.g., the organization or third parties such as service providers, partners, customers, and developers) and their roles with respect to the systems/products/services and components (e.g., internal or external) that process data are inventoried.",1
3,ID.IM-P3,3,"Categories of individuals (e.g., customers, employees or prospective employees, consumers) whose data are being processed are inventoried.",1
4,ID.IM-P4,4,Data actions of the systems/products/services are inventoried.,1
5,ID.IM-P5,5,The purposes for the data actions are inventoried.,1
6,ID.IM-P6,6,Data elements within the data actions are inventoried.,1
7,ID.IM-P7,7,"The data processing environment is identified (e.g., geographic location, internal, cloud, third parties).",1
8,ID.IM-P8,8,"Data processing is mapped, illustrating the data actions and associated data elements for systems/products/services, including components; roles of the component owners/operators; and interactions of individuals or third parties with the systems/products/services.",1
9,ID.BE-P1,1,The organization’s role(s) in the data processing ecosystem are identified and communicated.,2
10,ID.BE-P2,2,"Priorities for organizational mission, objectives, and activities are established and communicated.",2
11,ID.BE-P3,3,Systems/products/services that support organizational priorities are identified and key requirements communicated.,2
12,ID.RA-P1,1,"Contextual factors related to the systems/products/services and the data actions are identified (e.g., individuals’ demographics and privacy interests or perceptions, data sensitivity and/or types, visibility of data processing to individuals and third parties). ",3
13,ID.RA-P2,2,Data analytic inputs and outputs are identified and evaluated for bias.,3
14,ID.RA-P3,3,Potential problematic data actions and associated problems are identified. ,3
15,ID.RA-P4,4,"Problematic data actions, likelihoods, and impacts are used to determine and prioritize risk.",3
16,ID.RA-P5,5,"Risk responses are identified, prioritized, and implemented.",3
17,ID.DE-P1,1,"Data processing ecosystem risk management policies, processes, and procedures are identified, established, assessed, managed, and agreed to by organizational stakeholders.",4
18,ID.DE-P2,2,"Data processing ecosystem parties (e.g., service providers, customers, partners, product manufacturers, application developers) are identified, prioritized, and assessed using a privacy risk assessment process.",4
19,ID.DE-P3,3,Contracts with data processing ecosystem parties are used to implement appropriate measures designed to meet the objectives of an organization’s privacy program. ,4
20,ID.DE-P4,4,Interoperability frameworks or similar multi-party approaches are used to manage data processing ecosystem privacy risks. ,4
