RMFTaskIndex,RMFID,RMFTaskName,RMFTaskID,RMFTaskDescription,RMFTaskTier,RMFStepIndex
1,P-1,Risk Management Roles,1,Identify and assign individuals to specific roles associated with security and privacy risk management.,Organization,1
7,P-14 ,Risk Assessment,14,Conduct a system-level risk assessment and update the risk assessment results on an ongoing basis.,Organization,1
12,P-2 ,Risk Management Strategy,2,Establish a risk management strategy for the organization that includes a determination of risk tolerance.,Organization,1
13,P-3 ,Risk Assessment,3,Assess organization-wide security and privacy risk and update the risk assessment results on an ongoing basis.,Organization,1
14,P-4 ,Organizationally-Tailored Control Baselines And Cybersecurity Framework Profiles,4,"Establish, document, and publish org",Organization,1
15,P-5 ,Common Control Identification,5,"Identify, document, and publish organization-wide common controls that are available for inheritance by organizational systems.",Organization,1
16,P-6 ,Impact-Level Prioritization,6,Prioritize organizational systems with the same impact level.,Organization,1
17,P-7 ,Continuous Monitoring Strategy,7,Develop and implement an organization-wide strategy for continuously monitoring control effectiveness,Organization,1
2,P-10 ,Asset Identification,10,Identify assets that require protection.,Information System,1
3,P-11 ,Authorization Boundary ,11,Determine the authorization boundary of the system.,Information System,1
4,P-12 ,Information Types,12,"Identify the types of information to be processed, stored, and transmitted by the system",Information System,1
5,P-13 ,Information Life Cycle,13,"Identify and understand all stages of the information life cycle for each information type processed, stored, or transmitted by the system.",Information System,1
6,P-14 ,Risk Assessment,14,Conduct a system-level risk assessment and update the risk assessment results on an ongoing basis.,Information System,1
8,P-15 ,Requirements Definition,15,Define the security and privacy requirements for the system and the environment of operation.,Information System,1
9,P-16 ,Enterprise Architecture,16,Determine the placement of the system within the enterprise architecture.,Information System,1
10,P-17 ,Requirements Allocation,17,Allocate security and privacy requirements to the system and to the environment of operation.,Information System,1
11,P-18,System Registration,18,Register the system with organizational program or management offices.,Information System,1
18,P-8,Mission Or Business Focus,8,"Identify the missions, business functions, and mission/business processes that the system is intended to support.",Information System,1
19,P-9,System Stakeholders,9,"Identify stakeholders who have an interest in the design, development, implementation, assessment, operation, maintenance, or disposal of the system.",Information System,1
20,C-1 ,System Description ,1,Document the characteristics of the system.,,2
21,C-2 ,Security Categorization ,2,Categorize the system and document the security categorization results.,,2
22,C-3 ,Security Categorization Review And Approval,3,Review and approve the security categorization results and decision.,,2
23,S-1,Control Selection,1,Select the controls for the system and the environment of operation,,3
24,S-2,Control Tailoring,2,Tailor the controls selected for the system and the environment of operation,,3
25,S-3 ,Control Allocation,3,Allocate security and privacy controls to the system and to the environment of operation,,3
26,S-4 ,Documentation Of Planned Control Implementations,4,Document the controls for the system and environment of operation in security and privacy plans.,,3
27,S-5 ,Continuous Monitoring Strategy,5,Develop and implement a system-level strategy for monitoring control effectiveness that is consistent with and supplements the organizational continuous monitoring strategy.,,3
28,S-6 ,Plan Review And Approval,6,Review and approve the security and privacy plans for the system and the environment of operation.,,3
29,I-1 ,Control Implementation,1,Implement the controls in the security and privacy plans.,,4
30,I-2 ,Update Control Implementation Information,2,Document changes to planned control implementations based on the “as-implemented” state of controls,,4
31,A-1 ,Assessor Selection,1,Select the appropriate assessor or assessment team for the type of control assessment to be conducted.,,5
32,A-2 ,Assessment Plan,2,"Develop, review, and approve plans to assess implemented controls",,5
33,A-3 ,Control Assessments ,3,Assess the controls in accordance with the assessment procedures described in assessment plans.,,5
34,A-4 ,Assessment Reports ,4,Prepare the assessment reports documenting the findings and recommendations from the control assessments,,5
35,A-5 ,Remediation Actions,5,Conduct initial remediation actions on the controls and reassess remediated controls,,5
36,A-6 ,Plan Of Action And Milestones ,6,Prepare the plan of action and milestones based on the findings and recommendations of the assessment reports.,,5
37,R-1 ,Authorization Package ,1,Assemble the authorization package and submit the package to the authorizing official for an authorization decision.,,6
38,R-2 ,Risk Analysis And Determination ,2,Analyze and determine the risk from the operation or use of the system or the provision of common controls.,,6
39,R-3,Risk Response,3,Identify and implement a preferred course of action in response to the risk determined.,,6
40,R-4 ,Authorization Decision,4,Determine if the risk from the operation or use of the information system or the provision or use of common controls is acceptable.,,6
41,R-5 ,Authorization Reporting,5,Report the authorization decision and any deficiencies in controls that represent significant security or privacy risk.,,6
42,M-1,System And Environment Changes,1,Monitor the information system and its environment of operation for changes that impact the security and privacy posture of the system.,,7
43,M-2 ,Ongoing Assessments,2,Assess the controls implemented within and inherited by the system in accordance with the continuous monitoring strategy.,,7
44,M-3 ,Ongoing Risk Response,3,"Respond to risk based on the results of ongoing monitoring activities, risk assessments, and outstanding items in plans of action and milestones.",,7
45,M-4 ,Authorization Package Updates,4,"Update plans, assessment reports, and plans of action and milestones based on the results of the continuous monitoring process",,7
46,M-5 ,Security And Privacy Reporting,5,Report the security and privacy posture of the system to the authorizing official and other organizational officials on an ongoing basis in accordance with the organizational continuous monitoring strategy.,,7
47,M-6 ,Ongoing Authorization,6,Review the security and privacy posture of the system on an ongoing basis to determine whether the risk remains acceptable.,,7
48,M-7 ,System Disposal,7,Implement a system disposal strategy and execute required actions when a system is removed from operation.,,7
