RMFTaskIndex,RMFID,RMFTaskID,RMFTask,RMFTaskDescription,RMFTaskTier,RMFStepIndex
1,RMF 0.P-1,P-1,RISK MANAGEMENT ROLES,Identify and assign individuals to specific roles associated with security and privacy risk management.,Organization,1
7,RMF 0.P-14 ,P-14 ,RISK ASSESSMENT,Conduct a system-level risk assessment and update the risk assessment results on an ongoing basis.,Organization,1
12,RMF 0.P-2 ,P-2 ,RISK MANAGEMENT STRATEGY,Establish a risk management strategy for the organization that includes a determination of risk tolerance.,Organization,1
13,RMF 0.P-3 ,P-3 ,RISK ASSESSMENT,Assess organization-wide security and privacy risk and update the risk assessment results on an ongoing basis.,Organization,1
14,RMF 0.P-4 ,P-4 ,ORGANIZATIONALLY-TAILORED CONTROL BASELINES AND CYBERSECURITY FRAMEWORK PROFILES,"Establish, document, and publish org",Organization,1
15,RMF 0.P-5 ,P-5 ,COMMON CONTROL IDENTIFICATION,"Identify, document, and publish organization-wide common controls that are available for inheritance by organizational systems.",Organization,1
16,RMF 0.P-6 ,P-6 ,IMPACT-LEVEL PRIORITIZATION,Prioritize organizational systems with the same impact level.,Organization,1
17,RMF 0.P-7 ,P-7 ,CONTINUOUS MONITORING STRATEGY,Develop and implement an organization-wide strategy for continuously monitoring control effectiveness,Organization,1
2,RMF 0.P-10 ,P-10 ,ASSET IDENTIFICATION,Identify assets that require protection.,Information System,1
3,RMF 0.P-11 ,P-11 ,AUTHORIZATION BOUNDARY ,Determine the authorization boundary of the system.,Information System,1
4,RMF 0.P-12 ,P-12 ,INFORMATION TYPES,"Identify the types of information to be processed, stored, and transmitted by the system",Information System,1
5,RMF 0.P-13 ,P-13 ,INFORMATION LIFE CYCLE,"Identify and understand all stages of the information life cycle for each information type processed, stored, or transmitted by the system.",Information System,1
6,RMF 0.P-14 ,P-14 ,RISK ASSESSMENT,Conduct a system-level risk assessment and update the risk assessment results on an ongoing basis.,Information System,1
8,RMF 0.P-15 ,P-15 ,REQUIREMENTS DEFINITION,Define the security and privacy requirements for the system and the environment of operation.,Information System,1
9,RMF 0.P-16 ,P-16 ,ENTERPRISE ARCHITECTURE,Determine the placement of the system within the enterprise architecture.,Information System,1
10,RMF 0.P-17 ,P-17 ,REQUIREMENTS ALLOCATION,Allocate security and privacy requirements to the system and to the environment of operation.,Information System,1
11,RMF 0.P-18,P-18,SYSTEM REGISTRATION,Register the system with organizational program or management offices.,Information System,1
18,RMF 0.P-8,P-8,MISSION OR BUSINESS FOCUS,"Identify the missions, business functions, and mission/business processes that the system is intended to support.",Information System,1
19,RMF 0.P-9,P-9,SYSTEM STAKEHOLDERS,"Identify stakeholders who have an interest in the design, development, implementation, assessment, operation, maintenance, or disposal of the system.",Information System,1
20,RMF 1.C-1 ,C-1 ,SYSTEM DESCRIPTION ,Document the characteristics of the system.,,2
21,RMF 1.C-2 ,C-2 ,SECURITY CATEGORIZATION ,Categorize the system and document the security categorization results.,,2
22,RMF 1.C-3 ,C-3 ,SECURITY CATEGORIZATION REVIEW AND APPROVAL,Review and approve the security categorization results and decision.,,2
23,RMF 2.S-1,S-1,CONTROL SELECTION,Select the controls for the system and the environment of operation,,3
24,RMF 2.S-2,S-2,CONTROL TAILORING,Tailor the controls selected for the system and the environment of operation,,3
25,RMF 2.S-3 ,S-3 ,CONTROL ALLOCATION,Allocate security and privacy controls to the system and to the environment of operation,,3
