SP80053ControlDetailIndex,SP80053ID,SP80053ControlFamilyControlDetailID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
601,SP 800-53 IA-8 (1),IA-8 (1),8 (1),1,(1),ACCEPTANCE OF PIV CREDENTIALS FROM OTHER AGENCIES,The information system accepts and electronically verifies Personal Identity Verification (PIV) credentials from other federal agencies.,,Information System,,,,P1,0,1,1,1,82
809,SP 800-53 PE-2 (1),PE-2 (1),2 (1),1,(1),ACCESS BY POSITION / ROLE,The organization authorizes physical access to the facility where the information system resides based on position or role.,,Organization,,,,P1,0,0,0,0,111
1051,SP 800-53 SA-12 (1),SA-12 (1),12 (1),1,(1),ACQUISITION STRATEGIES / TOOLS / METHODS,"The organization employs [Assignment: organization-defined tailored acquisition strategies, contract tools, and procurement methods] for the purchase of the information system, system component, or information system service from suppliers.","Assignment: organization-defined tailored acquisition strategies, contract tools, and procurement methods",Organization,,,,P1,1,0,0,0,173
252,SP 800-53 AU-3 (1),AU-3 (1),3 (1),1,(1),ADDITIONAL AUDIT INFORMATION,"The information system generates audit records containing the following additional information: [Assignment: organization-defined additional, more detailed information].","Assignment: organization-defined additional, more detailed information",Information System,,,,P1,0,0,1,1,30
349,SP 800-53 CM-11 (1),CM-11 (1),11 (1),1,(1),ALERTS FOR UNAUTHORIZED INSTALLATIONS,The information system alerts [Assignment: organization-defined personnel or roles] when the unauthorized installation of software is detected.,Assignment: organization-defined personnel or roles,Information System,,,,P1,0,0,0,0,62
1135,SP 800-53 SA-22 (1),SA-22 (1),22 (1),1,(1),ALTERNATIVE SOURCES FOR CONTINUED SUPPORT,The organization provides [Selection (one or more): in-house support; [Assignment: organization-defined support from external providers]] for unsupported information system components.,Selection (one or more): in-house support; [Assignment: organization-defined support from external providers,Organization,,,,P0,1,0,0,0,183
1118,SP 800-53 SA-19 (1),SA-19 (1),19 (1),1,(1),ANTI-COUNTERFEIT TRAINING,"The organization trains [Assignment: organization-defined personnel or roles] to detect counterfeit information system components (including hardware, software, and firmware).",Assignment: organization-defined personnel or roles,Organization,,,,P0,1,0,0,0,180
436,SP 800-53 CM-9 (1),CM-9 (1),9 (1),1,(1),ASSIGNMENT OF RESPONSIBILITY,The organization assigns responsibility for developing the configuration management process to organizational personnel that are not directly involved in information system development.,,Organization,,,,P1,0,0,0,0,60
257,SP 800-53 AU-5 (1),AU-5 (1),5 (1),1,(1),AUDIT STORAGE CAPACITY,"The information system provides a warning to [Assignment: organization-defined personnel, roles, and/or locations] within [Assignment: organization-defined time period] when allocated audit record storage volume reaches [Assignment: organization-defined percentage] of repository maximum audit record storage capacity.","Assignment: organization-defined personnel, roles, and/or locations",Information System,,,,P1,0,0,0,1,32
43,SP 800-53 AC-18 (1),AC-18 (1),18 (1),1,(1),AUTHENTICATION AND ENCRYPTION,The information system protects wireless access to the system using authentication of [Selection (one or more): users; devices] and encryption.,Selection (one or more): users; devices,Information System,,,,P1,0,1,1,1,16
161,SP 800-53 AC-6 (1),AC-6 (1),6 (1),1,(1),AUTHORIZE ACCESS TO SECURITY FUNCTIONS,"The organization explicitly authorizes access to [Assignment: organization-defined security functions (deployed in hardware, software, and firmware) and security-relevant information].","Assignment: organization-defined security functions (deployed in hardware, software, and firmware) and security-relevant information",Organization,,,,P1,0,0,1,1,6
391,SP 800-53 CM-5 (1),CM-5 (1),5 (1),1,(1),AUTOMATED ACCESS ENFORCEMENT / AUDITING,The information system enforces access restrictions and supports auditing of the enforcement actions.,,Information System,,,,P1,0,0,0,1,56
1426,SP 800-53 SI-5 (1),SI-5 (1),5 (1),1,(1),AUTOMATED ALERTS AND ADVISORIES,The organization employs automated mechanisms to make security alert and advisory information available throughout the organization.,,Organization,,,,P1,1,0,0,1,229
399,SP 800-53 CM-6 (1),CM-6 (1),6 (1),1,(1),AUTOMATED CENTRAL MANAGEMENT / APPLICATION / VERIFICATION,"The organization employs automated mechanisms to centrally manage, apply, and verify configuration settings for [Assignment: organization-defined information system components].",Assignment: organization-defined information system components,Organization,,,,P1,0,0,0,1,57
85,SP 800-53 AC-21 (1),AC-21 (1),21 (1),1,(1),AUTOMATED DECISION SUPPORT,The information system enforces information-sharing decisions by authorized users based on access authorizations of sharing partners and access restrictions on information to be shared.,,Information System,,,,P2,0,0,0,0,19
368,SP 800-53 CM-3 (1),CM-3 (1),3 (1),1,(1),AUTOMATED DOCUMENT / NOTIFICATION / PROHIBITION OF CHANGES,The organization employs automated mechanisms to ,,Organization,,,,P1,1,0,0,1,54
625,SP 800-53 IR-4 (1),IR-4 (1),4 (1),1,(1),AUTOMATED INCIDENT HANDLING PROCESSES,The organization employs automated mechanisms to support the incident handling process.,,Organization,,,,P1,0,0,1,1,89
33,SP 800-53 AC-17 (1),AC-17 (1),17 (1),1,(1),AUTOMATED MONITORING / CONTROL,The information system monitors and controls remote access methods.,,Information System,,,,P1,0,1,1,1,15
850,SP 800-53 PE-8 (1),PE-8 (1),8 (1),1,(1),AUTOMATED RECORDS MAINTENANCE / REVIEW,The organization employs automated mechanisms to facilitate the maintenance and review of visitor access records.,,Organization,,,,P3,0,0,0,1,116
641,SP 800-53 IR-6 (1),IR-6 (1),6 (1),1,(1),AUTOMATED REPORTING,The organization employs automated mechanisms to assist in the reporting of security incidents.,,Organization,,,,P1,0,0,1,1,91
60,SP 800-53 AC-2 (1),AC-2 (1),2 (1),1,(1),AUTOMATED SYSTEM ACCOUNT MANAGEMENT,The organization employs automated mechanisms to support the management of information system accounts.,,Organization,,,,P1,0,0,1,1,2
622,SP 800-53 IR-3 (1),IR-3 (1),3 (1),1,(1),AUTOMATED TESTING,The organization employs automated mechanisms to more thoroughly and effectively test the incident response capability.,,Organization,,,,P2,1,0,0,0,88
639,SP 800-53 IR-5 (1),IR-5 (1),5 (1),1,(1),AUTOMATED TRACKING / DATA COLLECTION / ANALYSIS,The organization employs automated mechanisms to assist in the tracking of security incidents and in the collection and analysis of incident information.,,Organization,,,,P1,1,0,0,1,90
789,SP 800-53 PE-14 (1),PE-14 (1),14 (1),1,(1),AUTOMATIC CONTROLS,The organization employs automatic temperature and humidity controls in the facility to prevent fluctuations potentially harmful to the information system.,,Organization,,,,P1,0,0,0,0,122
276,SP 800-53 AU-7 (1),AU-7 (1),7 (1),1,(1),AUTOMATIC PROCESSING,The information system provides the capability to process audit records for events of interest based on [Assignment: organization-defined audit fields within audit records].,Assignment: organization-defined audit fields within audit records,Information System,,,,P2,1,0,1,1,34
794,SP 800-53 PE-15 (1),PE-15 (1),15 (1),1,(1),AUTOMATION SUPPORT,The organization employs automated mechanisms to detect the presence of water in the vicinity of the information system and alerts [Assignment: organization-defined personnel or roles].,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,0,0,1,125
318,SP 800-53 CA-5 (1),CA-5 (1),5 (1),1,(1),AUTOMATION SUPPORT FOR ACCURACY / CURRENCY,"The organization employs automated mechanisms to help ensure that the plan of action and milestones for the information system is accurate, up to date, and readily available.",,Organization,,,,P3,1,0,0,0,47
647,SP 800-53 IR-7 (1),IR-7 (1),7 (1),1,(1),AUTOMATION SUPPORT FOR AVAILABILITY OF INFORMATION / SUPPORT,The organization employs automated mechanisms to increase the availability of incident response-related information and support.,,Organization,,,,P2,0,0,1,1,92
1192,SP 800-53 SC-12 (1),SC-12 (1),12 (1),1,(1),AVAILABILITY,The organization maintains availability of information in the event of the loss of cryptographic keys by users.,,Organization,,,,P1,0,0,0,1,194
1376,SP 800-53 SI-3 (1),SI-3 (1),3 (1),1,(1),CENTRAL MANAGEMENT,The organization centrally manages malicious code protection mechanisms.,,Organization,,,,P1,0,0,1,1,227
1456,SP 800-53 SI-8 (1),SI-8 (1),8 (1),1,(1),CENTRAL MANAGEMENT,The organization centrally manages spam protection mechanisms.,,Organization,,,,P2,0,0,1,1,232
1365,SP 800-53 SI-2 (1),SI-2 (1),2 (1),1,(1),CENTRAL MANAGEMENT,The organization centrally manages the flaw remediation process.,,Organization,,,,P1,0,0,0,1,226
950,SP 800-53 PS-3 (1),PS-3 (1),3 (1),1,(1),CLASSIFIED INFORMATION,"The organization ensures that individuals accessing an information system processing, storing, or transmitting classified information are cleared and indoctrinated to the highest classification level of the information to which they have access on the system.",,Organization,,,,P1,0,0,0,0,153
454,SP 800-53 CP-2 (1),CP-2 (1),2 (1),1,(1),COORDINATE WITH RELATED PLANS,The organization coordinates contingency plan development with organizational elements responsible for related plans.,,Organization,,,,P1,0,0,1,1,64
