CSFSP80053Index,CSFSubcategoryID,SP80053ControlDetailID
1,DE.AE-1,AC-4
2,DE.AE-1,AC-4 (1)
3,DE.AE-1,AC-4 (10)
4,DE.AE-1,AC-4 (11)
5,DE.AE-1,AC-4 (12)
6,DE.AE-1,AC-4 (13)
7,DE.AE-1,AC-4 (14)
8,DE.AE-1,AC-4 (15)
9,DE.AE-1,AC-4 (17)
10,DE.AE-1,AC-4 (18)
11,DE.AE-1,AC-4 (19)
12,DE.AE-1,AC-4 (2)
13,DE.AE-1,AC-4 (20)
14,DE.AE-1,AC-4 (21)
15,DE.AE-1,AC-4 (22)
16,DE.AE-1,AC-4 (3)
17,DE.AE-1,AC-4 (4)
18,DE.AE-1,AC-4 (5)
19,DE.AE-1,AC-4 (6)
20,DE.AE-1,AC-4 (7)
21,DE.AE-1,AC-4 (8)
22,DE.AE-1,AC-4 (9)
24,DE.AE-1,CA-3 (1)
25,DE.AE-1,CA-3 (2)
26,DE.AE-1,CA-3 (3)
27,DE.AE-1,CA-3 (4)
28,DE.AE-1,CA-3 (5)
29,DE.AE-1,CA-3a
30,DE.AE-1,CA-3b
31,DE.AE-1,CA-3c
32,DE.AE-1,CM-2
33,DE.AE-1,CM-2 (1)(a)
34,DE.AE-1,CM-2 (1)(b)
35,DE.AE-1,CM-2 (1)(c)
36,DE.AE-1,CM-2 (2)
37,DE.AE-1,CM-2 (3)
38,DE.AE-1,CM-2 (6)
39,DE.AE-1,CM-2 (7)(a)
40,DE.AE-1,CM-2 (7)(b)
42,DE.AE-1,SI-4 (1)
43,DE.AE-1,SI-4 (10)
44,DE.AE-1,SI-4 (11)
45,DE.AE-1,SI-4 (12)
46,DE.AE-1,SI-4 (13)(a)
47,DE.AE-1,SI-4 (13)(b)
48,DE.AE-1,SI-4 (13)(c)
49,DE.AE-1,SI-4 (14)
50,DE.AE-1,SI-4 (15)
51,DE.AE-1,SI-4 (16)
52,DE.AE-1,SI-4 (17)
53,DE.AE-1,SI-4 (18)
54,DE.AE-1,SI-4 (19)
55,DE.AE-1,SI-4 (2)
56,DE.AE-1,SI-4 (20)
57,DE.AE-1,SI-4 (21)
58,DE.AE-1,SI-4 (22)
59,DE.AE-1,SI-4 (23)
60,DE.AE-1,SI-4 (24)
61,DE.AE-1,SI-4 (3)
62,DE.AE-1,SI-4 (4)
63,DE.AE-1,SI-4 (5)
64,DE.AE-1,SI-4 (7)
65,DE.AE-1,SI-4 (9)
66,DE.AE-1,SI-4a.1
67,DE.AE-1,SI-4a.2
68,DE.AE-1,SI-4b
69,DE.AE-1,SI-4c.1
70,DE.AE-1,SI-4c.2
71,DE.AE-1,SI-4d
72,DE.AE-1,SI-4e
73,DE.AE-1,SI-4f
74,DE.AE-1,SI-4g
76,DE.AE-2,AU-6 (1)
77,DE.AE-2,AU-6 (10)
78,DE.AE-2,AU-6 (3)
79,DE.AE-2,AU-6 (4)
80,DE.AE-2,AU-6 (5)
81,DE.AE-2,AU-6 (6)
82,DE.AE-2,AU-6 (7)
83,DE.AE-2,AU-6 (8)
84,DE.AE-2,AU-6 (9)
85,DE.AE-2,AU-6a
86,DE.AE-2,AU-6b
88,DE.AE-2,CA-7 (1)
89,DE.AE-2,CA-7 (3)
90,DE.AE-2,CA-7a
91,DE.AE-2,CA-7b
92,DE.AE-2,CA-7c
93,DE.AE-2,CA-7d
94,DE.AE-2,CA-7e
95,DE.AE-2,CA-7f
96,DE.AE-2,CA-7g
98,DE.AE-2,IR-4 (1)
99,DE.AE-2,IR-4 (10)
100,DE.AE-2,IR-4 (2)
101,DE.AE-2,IR-4 (3)
102,DE.AE-2,IR-4 (4)
103,DE.AE-2,IR-4 (5)
104,DE.AE-2,IR-4 (6)
105,DE.AE-2,IR-4 (7)
106,DE.AE-2,IR-4 (8)
107,DE.AE-2,IR-4 (9)
108,DE.AE-2,IR-4a
109,DE.AE-2,IR-4b
110,DE.AE-2,IR-4c
112,DE.AE-2,SI-4 (1)
113,DE.AE-2,SI-4 (10)
114,DE.AE-2,SI-4 (11)
115,DE.AE-2,SI-4 (12)
116,DE.AE-2,SI-4 (13)(a)
117,DE.AE-2,SI-4 (13)(b)
118,DE.AE-2,SI-4 (13)(c)
119,DE.AE-2,SI-4 (14)
120,DE.AE-2,SI-4 (15)
121,DE.AE-2,SI-4 (16)
122,DE.AE-2,SI-4 (17)
123,DE.AE-2,SI-4 (18)
124,DE.AE-2,SI-4 (19)
125,DE.AE-2,SI-4 (2)
126,DE.AE-2,SI-4 (20)
127,DE.AE-2,SI-4 (21)
128,DE.AE-2,SI-4 (22)
129,DE.AE-2,SI-4 (23)
130,DE.AE-2,SI-4 (24)
131,DE.AE-2,SI-4 (3)
132,DE.AE-2,SI-4 (4)
133,DE.AE-2,SI-4 (5)
134,DE.AE-2,SI-4 (7)
135,DE.AE-2,SI-4 (9)
136,DE.AE-2,SI-4a.1
137,DE.AE-2,SI-4a.2
138,DE.AE-2,SI-4b
139,DE.AE-2,SI-4c.1
140,DE.AE-2,SI-4c.2
141,DE.AE-2,SI-4d
142,DE.AE-2,SI-4e
143,DE.AE-2,SI-4f
144,DE.AE-2,SI-4g
146,DE.AE-3,AU-6 (1)
147,DE.AE-3,AU-6 (10)
148,DE.AE-3,AU-6 (3)
149,DE.AE-3,AU-6 (4)
150,DE.AE-3,AU-6 (5)
151,DE.AE-3,AU-6 (6)
152,DE.AE-3,AU-6 (7)
153,DE.AE-3,AU-6 (8)
154,DE.AE-3,AU-6 (9)
155,DE.AE-3,AU-6a
156,DE.AE-3,AU-6b
158,DE.AE-3,CA-7 (1)
159,DE.AE-3,CA-7 (3)
160,DE.AE-3,CA-7a
161,DE.AE-3,CA-7b
162,DE.AE-3,CA-7c
163,DE.AE-3,CA-7d
164,DE.AE-3,CA-7e
165,DE.AE-3,CA-7f
166,DE.AE-3,CA-7g
168,DE.AE-3,IR-4 (1)
169,DE.AE-3,IR-4 (10)
170,DE.AE-3,IR-4 (2)
171,DE.AE-3,IR-4 (3)
172,DE.AE-3,IR-4 (4)
173,DE.AE-3,IR-4 (5)
174,DE.AE-3,IR-4 (6)
175,DE.AE-3,IR-4 (7)
176,DE.AE-3,IR-4 (8)
177,DE.AE-3,IR-4 (9)
178,DE.AE-3,IR-4a
179,DE.AE-3,IR-4b
180,DE.AE-3,IR-4c
181,DE.AE-3,IR-5
182,DE.AE-3,IR-5 (1)
184,DE.AE-3,SI-4 (1)
185,DE.AE-3,SI-4 (10)
186,DE.AE-3,SI-4 (11)
187,DE.AE-3,SI-4 (12)
188,DE.AE-3,SI-4 (13)(a)
189,DE.AE-3,SI-4 (13)(b)
190,DE.AE-3,SI-4 (13)(c)
191,DE.AE-3,SI-4 (14)
192,DE.AE-3,SI-4 (15)
193,DE.AE-3,SI-4 (16)
194,DE.AE-3,SI-4 (17)
195,DE.AE-3,SI-4 (18)
196,DE.AE-3,SI-4 (19)
197,DE.AE-3,SI-4 (2)
198,DE.AE-3,SI-4 (20)
199,DE.AE-3,SI-4 (21)
200,DE.AE-3,SI-4 (22)
201,DE.AE-3,SI-4 (23)
202,DE.AE-3,SI-4 (24)
203,DE.AE-3,SI-4 (3)
204,DE.AE-3,SI-4 (4)
205,DE.AE-3,SI-4 (5)
206,DE.AE-3,SI-4 (7)
207,DE.AE-3,SI-4 (9)
208,DE.AE-3,SI-4a.1
209,DE.AE-3,SI-4a.2
210,DE.AE-3,SI-4b
211,DE.AE-3,SI-4c.1
212,DE.AE-3,SI-4c.2
213,DE.AE-3,SI-4d
214,DE.AE-3,SI-4e
215,DE.AE-3,SI-4f
216,DE.AE-3,SI-4g
218,DE.AE-4,CP-2 (1)
219,DE.AE-4,CP-2 (2)
220,DE.AE-4,CP-2 (3)
221,DE.AE-4,CP-2 (4)
222,DE.AE-4,CP-2 (5)
223,DE.AE-4,CP-2 (6)
224,DE.AE-4,CP-2 (7)
225,DE.AE-4,CP-2 (8)
226,DE.AE-4,CP-2a.1
