SP80053ControlDetailIndex,SP80053ID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailShortTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
2,AC-1.a.1,1.a.1,0,,,Access Control Policies,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,1
3,AC-1.a.2,1.a.2,0,,,Access Control Procedures,"The organization develops, documents, and disseminates to [Assignment: organization-defined personnel or roles] procedures to facilitate the implementation of the access control policy and associated access controls",Assignment: organization-defined personnel or roles,Organization,,,,P1,1,1,1,1,1
4,AC-1.b.1,1.b.1,0,,,,The organization reviews and updates the current access control policy [Assignment: organization-defined frequency],Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,1
5,AC-1.b.2,1.b.2,0,,,,The organization reviews and updates the current access control procedures [Assignment: organization-defined frequency].,Assignment: organization-defined frequency,Organization,,,,P1,1,1,1,1,1
6,AC-10,10,0,,,,The information system limits the number of concurrent sessions for each [Assignment: organization-defined account and/or account type] to [Assignment: organization-defined number].,Assignment: organization-defined account and/or account type,Information System,,,,P3,0,0,0,1,10
8,AC-11 (1),11 (1),1,1,Pattern-Hiding Displays,Pattern-Hiding Displays,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.",,Information System,,,,P3,0,0,1,1,11
9,AC-11a,11a,0,,,,The information system prevents further access to the system by initiating a session lock after [Assignment: organization-defined time period] of inactivity or upon receiving a request from a user,Assignment: organization-defined time period,Information System,,,,P3,0,0,1,1,11
10,AC-11b,11b,0,,,,The information system retains the session lock until the user reestablishes access using established identification and authentication procedures.,,Information System,,,,P3,0,0,0,1,11
11,AC-12,12,0,,,,The information system automatically terminates a user session after [Assignment: organization-defined conditions or trigger events requiring session disconnect].,Assignment: organization-defined conditions or trigger events requiring session disconnect,Information System,,,,P2,0,0,1,1,12
12,AC-12 (1)(a),12 (1)(a),1,(1)(a),User-Initiated Logouts / Message Displays,User-Initiated Logouts / Message Displays,The information system provides a logout capability for user-initiated communications sessions whenever authentication is used to gain access to [Assignment: organization-defined information resources].,Assignment: organization-defined information resources,Information System,,,,P2,0,0,0,0,12
13,AC-12 (1)(b),12 (1)(b),1,(1)(b),User-Initiated Logouts / Message Displays,User-Initiated Logouts / Message Displays,The information system displays an explicit logout message to users indicating the reliable termination of authenticated communications sessions.,,Information System,,,,P2,0,0,0,0,12
15,AC-14a,14a,0,,,,The organization identifies [Assignment: organization-defined user actions] that can be performed on the information system without identification or authentication consistent with organizational missions/business functions.,Assignment: organization-defined user actions,Organization,,,,P3,0,1,1,1,13
16,AC-14b,14b,0,,,,"The organization documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification or authentication.",,Organization,,,,P3,0,1,1,1,13
18,AC-16 (1),16 (1),1,1,Dynamic Attribute Association,Dynamic Attribute Association,The information system dynamically associates security attributes with [Assignment: organization-defined subjects and objects] in accordance with [Assignment: organization-defined security policies] as information is created and combined.,Assignment: organization-defined subjects and objects,Information System,,,,P0,0,0,0,0,14
19,AC-16 (10),16 (10),1,10,Attribute Configuration By Authorized Individuals,Attribute Configuration By Authorized Individuals,The information system provides authorized individuals the capability to define or change the type and value of security attributes available for association with subjects and objects.,,Information System,,,,P0,0,0,0,0,14
20,AC-16 (2),16 (2),1,2,Attribute Value Changes By Authorized Individuals,Attribute Value Changes By Authorized Individuals,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated security attributes.,,Information System,,,,P0,0,0,0,0,14
21,AC-16 (3),16 (3),1,3,Maintenance Of Attribute Associations By Information System,Maintenance Of Attribute Associations By Information System,The information system maintains the association and integrity of [Assignment: organization-defined security attributes] to [Assignment: organization-defined subjects and objects].,Assignment: organization-defined security attributes,Information System,,,,P0,0,0,0,0,14
22,AC-16 (4),16 (4),1,4,Association Of Attributes By Authorized Individuals,Association Of Attributes By Authorized Individuals,The information system supports the association of [Assignment: organization-defined security attributes] with [Assignment: organization-defined subjects and objects] by authorized individuals (or processes acting on behalf of individuals).,Assignment: organization-defined security attributes,Information System,,,,P0,0,0,0,0,14
23,AC-16 (5),16 (5),1,5,Attribute Displays For Output Devices,Attribute Displays For Output Devices,"The information system displays security attributes in human-readable form on each object that the system transmits to output devices to identify [Assignment: organization-identified special dissemination, handling, or distribution instructions] using [Assignment: organization-identified human-readable, standard naming conventions].","Assignment: organization-identified special dissemination, handling, or distribution instructions",Information System,,,,P0,0,0,0,0,14
24,AC-16 (6),16 (6),1,6,Maintenance Of Attribute Association By Organization,Maintenance Of Attribute Association By Organization,"The organization allows personnel to associate, and maintain the association of [Assignment: organization-defined security attributes] with [Assignment: organization-defined subjects and objects] in accordance with [Assignment: organization-defined security policies].",Assignment: organization-defined security attributes,Organization,,,,P0,0,0,0,0,14
25,AC-16 (7),16 (7),1,7,Consistent Attribute Interpretation,Consistent Attribute Interpretation,The organization provides a consistent interpretation of security attributes transmitted between distributed information system components.,,Organization,,,,P0,0,0,0,0,14
26,AC-16 (8),16 (8),1,8,Association Techniques / Technologies,Association Techniques / Technologies,The information system implements [Assignment: organization-defined techniques or technologies] with [Assignment: organization-defined level of assurance] in associating security attributes to information.,Assignment: organization-defined techniques or technologies,Information System,,,,P0,0,0,0,0,14
27,AC-16 (9),16 (9),1,9,Attribute Reassignment,Attribute Reassignment,The organization ensures that security attributes associated with information are reassigned only via re-grading mechanisms validated using [Assignment: organization-defined techniques or procedures].,Assignment: organization-defined techniques or procedures,Organization,,,,P0,0,0,0,0,14
28,AC-16a,16a,0,,,,"The organization provides the means to associate [Assignment: organization-defined types of security attributes] having [Assignment: organization-defined security attribute values] with information in storage, in process, and/or in transmission;",Assignment: organization-defined types of security attributes,Organization,,,,P0,0,0,0,0,14
29,AC-16b,16b,0,,,,The organization ensures that the security attribute associations are made and retained with the information;,,Organization,,,,P0,0,0,0,0,14
30,AC-16c,16c,0,,,,The organization establishes the permitted [Assignment: organization-defined security attributes] for [Assignment: organization-defined information systems].,Assignment: organization-defined security attributes,Organization,,,,P0,0,0,0,0,14
